t,id,x,y,r
1.27,0,-5.59527,18.4895,0.250993
1.28,0,-5.57829,18.4839,0.250993
1.29,0,-5.56129,18.4783,0.250993
1.3,0,-5.54426,18.4727,0.250993
1.31,0,-5.52719,18.467,0.250993
1.32,0,-5.5101,18.4613,0.250993
1.33,0,-5.49297,18.4557,0.250993
1.34,0,-5.47582,18.45,0.250993
1.35,0,-5.45864,18.4443,0.250993
1.36,0,-5.44143,18.4386,0.250993
1.37,0,-5.42419,18.4329,0.250993
1.38,0,-5.40692,18.4272,0.250993
1.39,0,-5.38963,18.4215,0.250993
1.4,0,-5.37232,18.4157,0.250993
1.41,0,-5.35497,18.41,0.250993
1.42,0,-5.3376,18.4042,0.250993
1.43,0,-5.3202,18.3985,0.250993
1.44,0,-5.30278,18.3927,0.250993
1.45,0,-5.28534,18.3869,0.250993
1.46,0,-5.26787,18.3812,0.250993
1.47,0,-5.25038,18.3754,0.250993
1.48,0,-5.23286,18.3696,0.250993
1.49,0,-5.21532,18.3638,0.250993
1.5,0,-5.19775,18.358,0.250993
1.51,0,-5.18017,18.3521,0.250993
1.52,0,-5.16256,18.3463,0.250993
1.53,0,-5.14493,18.3405,0.250993
1.54,0,-5.12727,18.3346,0.250993
1.55,0,-5.1096,18.3288,0.250993
1.56,0,-5.0919,18.3229,0.250993
1.57,0,-5.07418,18.317,0.250993
1.58,0,-5.05644,18.3112,0.250993
1.59,0,-5.03868,18.3053,0.250993
1.6,0,-5.0209,18.2994,0.250993
1.61,0,-5.0031,18.2935,0.250993
1.62,0,-4.98529,18.2876,0.250993
1.63,0,-4.96745,18.2817,0.250993
1.64,0,-4.94959,18.2758,0.250993
1.65,0,-4.93172,18.2699,0.250993
1.66,0,-4.91383,18.2639,0.250993
1.67,0,-4.89592,18.258,0.250993
1.68,0,-4.87799,18.2521,0.250993
1.69,0,-4.86005,18.2461,0.250993
1.7,0,-4.84209,18.2402,0.250993
1.71,0,-4.82411,18.2342,0.250993
1.72,0,-4.80611,18.2283,0.250993
1.73,0,-4.7881,18.2223,0.250993
1.74,0,-4.77007,18.2163,0.250993
1.75,0,-4.75203,18.2104,0.250993
1.76,0,-4.73397,18.2044,0.250993
1.77,0,-4.7159,18.1984,0.250993
1.78,0,-4.69781,18.1924,0.250993
1.79,0,-4.67971,18.1864,0.250993
1.8,0,-4.66159,18.1804,0.250993
1.81,0,-4.64346,18.1744,0.250993
1.82,0,-4.62532,18.1684,0.250993
1.83,0,-4.60716,18.1624,0.250993
1.84,0,-4.58898,18.1564,0.250993
1.85,0,-4.5708,18.1503,0.250993
1.86,0,-4.5526,18.1443,0.250993
1.87,0,-4.53439,18.1383,0.250993
1.88,0,-4.51617,18.1323,0.250993
1.89,0,-4.49793,18.1262,0.250993
1.9,0,-4.47969,18.1202,0.250993
1.91,0,-4.46143,18.1141,0.250993
1.92,0,-4.44315,18.1081,0.250993
1.93,0,-4.42487,18.102,0.250993
1.94,0,-4.40658,18.096,0.250993
1.95,0,-4.38827,18.0899,0.250993
1.96,0,-4.36995,18.0838,0.250993
1.97,0,-4.35162,18.0778,0.250993
1.98,0,-4.33329,18.0717,0.250993
1.99,0,-4.31494,18.0656,0.250993
